state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
DC,water transport and terminals,533,0,3024798,0,533,0,0,0,3024798,0,0,0,0,0,2002
DC,transit,8991,0,40545113,0,8820,0,216,0,40228947,0,316166,0,30099,0,2002
DC,education - elementary and secondary instructional,6938,0,27592460,0,6041,0,1561,0,24512416,0,3080044,0,157950,0,2002
DC,education - elementary and secondary other,4641,0,11814156,0,3679,0,1202,0,10036088,0,1778068,0,169340,0,2002
DC,education - higher education instructional,376,0,2097817,0,235,0,242,0,1390424,0,707393,0,24893,0,2002
DC,education - higher education other,605,0,2023682,0,345,0,282,0,1423300,0,600382,0,45677,0,2002
DC,libraries,393,0,1381751,0,362,0,61,0,1290027,0,91724,0,5402,0,2002
DC,other and unallocable,3161,0,15844732,0,3142,0,37,0,15795409,0,49323,0,3277,0,2002
FL,total,604309,0,1851207259,0,547899,0,137519,0,1730780399,0,120426860,0,9882148,0,2002
FL,financial administration,15559,0,50864859,0,15114,0,729,0,50019640,0,845219,0,76685,0,2002
FL,other government administration,12135,0,43326378,0,11446,0,1967,0,41644839,0,1681539,0,122748,0,2002
FL,judicial and legal,12756,0,39989647,0,12363,0,798,0,39175693,0,813954,0,68841,0,2002
FL,police protection - officers,35905,0,155909858,0,35671,0,573,0,155430804,0,479054,0,41971,0,2002
FL,police protection - other,19217,0,54893248,0,17205,0,5081,0,51180283,0,3712965,0,353114,0,2002
FL,fire protection - firefighters,20398,0,86772891,0,20154,0,862,0,86290197,0,482694,0,43658,0,2002
FL,fire protection - other,2850,0,10951664,0,2743,0,174,0,10730220,0,221444,0,17782,0,2002
FL,corrections,15160,0,48733824,0,15038,0,216,0,48469109,0,264715,0,21219,0,2002
FL,highways,14361,0,39711747,0,14158,0,410,0,39320616,0,391131,0,35004,0,2002
FL,air transportation,4253,0,15549482,0,4087,0,235,0,15222888,0,326594,0,29018,0,2002
FL,water transport and terminals,990,0,3766107,0,911,0,174,0,3592640,0,173467,0,13864,0,2002
FL,public welfare,6344,0,17391391,0,5714,0,1267,0,16555744,0,835647,0,110983,0,2002
FL,health,5208,0,15974630,0,4989,0,423,0,15504101,0,470529,0,38479,0,2002
FL,hospitals,39569,0,141349253,0,34334,0,8054,0,122355699,0,18993554,0,921362,0,2002
FL,solid waste management,7302,0,19440945,0,7093,0,316,0,19113286,0,327659,0,36014,0,2002
FL,sewerage,8568,0,27326900,0,8516,0,93,0,27234877,0,92023,0,8986,0,2002
FL,parks and recreation,18778,0,42618291,0,14098,0,9249,0,35579548,0,7038743,0,819912,0,2002
FL,housing and community development,5488,0,16236921,0,5180,0,490,0,15643830,0,593091,0,54229,0,2002
FL,natural resources,5225,0,19662771,0,5022,0,403,0,19250178,0,412593,0,35657,0,2002
FL,water transport and terminals,10203,0,32184569,0,10107,0,187,0,32009411,0,175158,0,16329,0,2002
FL,electric power,5298,0,23905405,0,5217,0,131,0,23744124,0,161281,0,14233,0,2002
FL,gas supply,601,0,1748372,0,598,0,6,0,1742605,0,5767,0,644,0,2002
FL,transit,6518,0,22463955,0,6170,0,530,0,21801967,0,661988,0,61205,0,2002
FL,education - elementary and secondary instructional,186067,0,593208857,0,162509,0,59263,0,543853981,0,49354876,0,4146545,0,2002
FL,education - elementary and secondary other,95405,0,177150106,0,90056,0,14853,0,169326502,0,7823604,0,941617,0,2002
FL,education - higher education instructional,7962,0,34452127,0,5048,0,11677,0,22831682,0,11620445,0,498647,0,2002
FL,education - higher education other,16604,0,41271691,0,12234,0,10885,0,34396545,0,6875146,0,743810,0,2002
FL,libraries,5948,0,14573111,0,4935,0,1989,0,12986724,0,1586387,0,178645,0,2002
FL,other and unallocable,19637,0,59778259,0,17189,0,6484,0,55772666,0,4005593,0,430947,0,2002
GA,total,352402,0,977211671,0,326577,0,64203,0,925235595,0,51976076,0,4509677,0,2002
GA,financial administration,7004,0,19614270,0,6680,0,690,0,18977051,0,637219,0,56545,0,2002
GA,other government administration,4857,0,15213665,0,4383,0,2964,0,13804655,0,1409010,0,87211,0,2002
GA,judicial and legal,8621,0,27435981,0,7967,0,1736,0,25761163,0,1674818,0,116672,0,2002
GA,police protection - officers,17795,0,54708103,0,17469,0,881,0,54133558,0,574545,0,56164,0,2002
GA,police protection - other,4127,0,9350629,0,3672,0,1283,0,8583210,0,767419,0,81228,0,2002
GA,fire protection - firefighters,9736,0,31634271,0,9498,0,1455,0,31223414,0,410857,0,42827,0,2002
GA,fire protection - other,611,0,1492273,0,581,0,93,0,1440518,0,51755,0,4989,0,2002
GA,corrections,7756,0,21413191,0,7518,0,410,0,21037767,0,375424,0,42268,0,2002
GA,highways,8217,0,19236398,0,8097,0,219,0,19032831,0,203567,0,21393,0,2002
GA,air transportation,569,0,1787889,0,543,0,67,0,1691263,0,96626,0,4986,0,2002
GA,water transport and terminals,3,0,10032,0,3,0,0,0,10032,0,0,0,0,0,2002
GA,public welfare,1189,0,2632575,0,970,0,360,0,2330102,0,302473,0,38053,0,2002
GA,health,12078,0,28665262,0,10776,0,2865,0,26376768,0,2288494,0,229216,0,2002
GA,hospitals,22131,0,61824343,0,20102,0,4164,0,56546771,0,5277572,0,355846,0,2002
GA,solid waste management,4705,0,9840499,0,4338,0,731,0,9324993,0,515506,0,63512,0,2002
GA,sewerage,3445,0,9591617,0,3427,0,33,0,9561189,0,30428,0,2765,0,2002
GA,parks and recreation,5507,0,12465495,0,4217,0,2821,0,10565615,0,1899880,0,226936,0,2002
GA,housing and community development,3091,0,8300764,0,2973,0,305,0,8086331,0,214433,0,20452,0,2002
GA,natural resources,320,0,582353,0,201,0,310,0,380835,0,201518,0,20235,0,2002
GA,water transport and terminals,5979,0,15459467,0,5885,0,263,0,15281474,0,177993,0,16701,0,2002
GA,electric power,817,0,2941135,0,816,0,1,0,2940338,0,797,0,89,0,2002
GA,gas supply,559,0,1386071,0,551,0,9,0,1376195,0,9876,0,1171,0,2002
GA,transit,5234,0,16813206,0,4992,0,354,0,16380105,0,433101,0,42520,0,2002
GA,education - elementary and secondary instructional,147195,0,465545481,0,138282,0,24788,0,444573322,0,20972159,0,1547392,0,2002
GA,education - elementary and secondary other,61319,0,114655890,0,54474,0,14507,0,103623434,0,11032456,0,1189213,0,2002
GA,education - higher education instructional,291,0,1027537,0,92,0,365,0,494297,0,533240,0,35022,0,2002
GA,education - higher education other,144,0,441492,0,90,0,72,0,336370,0,105122,0,9416,0,2002
GA,libraries,2707,0,7010700,0,2057,0,1510,0,5972768,0,1037932,0,114217,0,2002
GA,other and unallocable,6395,0,16131082,0,5923,0,947,0,15389226,0,741856,0,82638,0,2002
HI,total,14492,0,49575806,0,14061,0,1434,0,48759658,0,816148,0,76416,0,2002
HI,financial administration,921,0,3096614,0,912,0,18,0,3071048,0,25566,0,1572,0,2002
HI,other government administration,1095,0,3572022,0,1082,0,47,0,3526108,0,45914,0,2388,0,2002
HI,judicial and legal,572,0,2216128,0,567,0,12,0,2207334,0,8794,0,938,0,2002
HI,police protection - officers,2808,0,12281960,0,2808,0,0,0,12281960,0,0,0,0,0,2002
HI,police protection - other,836,0,2551012,0,795,0,187,0,2478826,0,72186,0,7294,0,2002
HI,fire protection - firefighters,1680,0,6348080,0,1680,0,0,0,6348080,0,0,0,0,0,2002
HI,fire protection - other,87,0,262036,0,85,0,4,0,257808,0,4228,0,346,0,2002
HI,highways,809,0,2290162,0,806,0,7,0,2282504,0,7658,0,598,0,2002
HI,public welfare,89,0,227642,0,79,0,36,0,209500,0,18142,0,1780,0,2002
HI,health,203,0,801192,0,201,0,6,0,795870,0,5322,0,316,0,2002
HI,solid waste management,538,0,1704334,0,537,0,2,0,1702072,0,2262,0,182,0,2002
HI,sewerage,752,0,2648120,0,751,0,3,0,2647072,0,1048,0,176,0,2002
HI,parks and recreation,1977,0,5000714,0,1713,0,904,0,4498042,0,502672,0,46484,0,2002
HI,housing and community development,345,0,982060,0,306,0,84,0,930204,0,51856,0,6720,0,2002
HI,natural resources,5,0,15460,0,4,0,8,0,8268,0,7192,0,498,0,2002
HI,water transport and terminals,983,0,3226920,0,981,0,6,0,3224250,0,2670,0,292,0,2002
HI,transit,44,0,109218,0,40,0,9,0,104686,0,4532,0,754,0,2002
HI,libraries,6,0,21586,0,6,0,0,0,21586,0,0,0,0,0,2002
HI,other and unallocable,742,0,2220546,0,708,0,101,0,2164440,0,56106,0,6078,0,2002
ID,total,53676,0,140618117,0,46831,0,20806,0,127857771,0,12760346,0,1185222,0,2002
ID,financial administration,1473,0,3585035,0,1409,0,181,0,3458531,0,126504,0,12166,0,2002
ID,other government administration,1020,0,2732761,0,914,0,1028,0,2424694,0,308067,0,20654,0,2002
ID,judicial and legal,1225,0,3265725,0,1155,0,148,0,3128144,0,137581,0,13081,0,2002
ID,police protection - officers,2446,0,8177849,0,2386,0,145,0,8069580,0,108269,0,10698,0,2002
ID,police protection - other,831,0,1941572,0,777,0,177,0,1836057,0,105515,0,10401,0,2002
ID,fire protection - firefighters,1005,0,3612892,0,906,0,1154,0,3442683,0,170209,0,17182,0,2002
ID,fire protection - other,51,0,138426,0,45,0,105,0,119939,0,18487,0,1692,0,2002
ID,corrections,1120,0,2667633,0,1020,0,242,0,2496819,0,170814,0,17836,0,2002
ID,highways,1740,0,4760662,0,1685,0,209,0,4637581,0,123081,0,11542,0,2002
ID,air transportation,134,0,381070,0,124,0,27,0,355750,0,25320,0,1892,0,2002
ID,water transport and terminals,13,0,31273,0,13,0,0,0,31273,0,0,0,0,0,2002
ID,public welfare,165,0,319321,0,137,0,70,0,269399,0,49922,0,5287,0,2002
ID,health,877,0,2731464,0,699,0,573,0,2129493,0,601971,0,31425,0,2002
ID,hospitals,5074,0,14180840,0,3927,0,2047,0,11425101,0,2755739,0,195148,0,2002
ID,solid waste management,409,0,946759,0,374,0,90,0,887468,0,59291,0,6546,0,2002
ID,sewerage,577,0,1715196,0,552,0,105,0,1660575,0,54621,0,4549,0,2002
ID,parks and recreation,751,0,1784131,0,526,0,784,0,1420534,0,363597,0,40469,0,2002
ID,housing and community development,172,0,446095,0,159,0,46,0,418624,0,27471,0,2183,0,2002
ID,natural resources,470,0,978526,0,421,0,200,0,887554,0,90972,0,9189,0,2002
ID,water transport and terminals,469,0,1264456,0,450,0,119,0,1223615,0,40841,0,3921,0,2002
ID,electric power,100,0,412781,0,98,0,6,0,409090,0,3691,0,365,0,2002
ID,gas supply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
ID,transit,35,0,62741,0,10,0,50,0,29349,0,33392,0,4364,0,2002
ID,education - elementary and secondary instructional,22559,0,63736080,0,20397,0,6799,0,59825957,0,3910123,0,368260,0,2002
ID,education - elementary and secondary other,8219,0,14265701,0,6578,0,4407,0,11822092,0,2443609,0,277068,0,2002
ID,education - higher education instructional,386,0,1317518,0,307,0,207,0,1096862,0,220656,0,13078,0,2002
ID,education - higher education other,1032,0,2052795,0,781,0,813,0,1781023,0,271772,0,43925,0,2002
ID,libraries,568,0,1097971,0,317,0,638,0,725191,0,372780,0,43517,0,2002
ID,other and unallocable,755,0,2010844,0,664,0,436,0,1844793,0,166051,0,18784,0,2002
IL,total,505003,0,1736500346,0,449096,0,165815,0,1615772136,0,120728210,0,9625461,0,2002
IL,financial administration,7719,0,26948630,0,7165,0,2620,0,25320480,0,1628150,0,116386,0,2002
IL,other government administration,9460,0,32632909,0,7756,0,18567,0,27085481,0,5547428,0,327029,0,2002
IL,judicial and legal,14858,0,49011344,0,14607,0,660,0,48289704,0,721640,0,44037,0,2002
IL,police protection - officers,32456,0,140714177,0,31708,0,2325,0,139242519,0,1471658,0,131811,0,2002
IL,police protection - other,8288,0,24675196,0,6500,0,4734,0,21099331,0,3575865,0,303007,0,2002
IL,fire protection - firefighters,15157,0,71271556,0,13500,0,10208,0,68198293,0,3073263,0,291572,0,2002
IL,fire protection - other,948,0,2568707,0,863,0,774,0,2372383,0,196324,0,17839,0,2002
IL,corrections,10086,0,34177006,0,9966,0,271,0,33914720,0,262286,0,20786,0,2002
IL,highways,12589,0,45565172,0,11465,0,3278,0,43391253,0,2173919,0,203756,0,2002
IL,air transportation,2445,0,9846825,0,2404,0,104,0,9787438,0,59387,0,7424,0,2002
IL,water transport and terminals,58,0,180004,0,54,0,7,0,174432,0,5572,0,688,0,2002
IL,public welfare,7064,0,16419697,0,6207,0,1632,0,14885475,0,1534222,0,147989,0,2002
IL,health,7629,0,23439809,0,6967,0,1702,0,21831174,0,1608635,0,113556,0,2002
IL,hospitals,12768,0,52082549,0,11856,0,1681,0,49939786,0,2142763,0,157484,0,2002
IL,solid waste management,5424,0,23394867,0,5312,0,192,0,23194859,0,200008,0,20240,0,2002
IL,sewerage,6315,0,27987849,0,6147,0,689,0,27583002,0,404847,0,32811,0,2002
IL,parks and recreation,16469,0,42514595,0,9463,0,19602,0,29589121,0,12925474,0,1220214,0,2002
IL,housing and community development,3631,0,11794791,0,3500,0,352,0,11536005,0,258786,0,21556,0,2002
IL,natural resources,1316,0,4562096,0,1173,0,558,0,4238328,0,323768,0,25040,0,2002
IL,water transport and terminals,6050,0,24250489,0,5763,0,1160,0,23581521,0,668968,0,57619,0,2002
IL,electric power,1196,0,5362278,0,1178,0,31,0,5323197,0,39081,0,3242,0,2002
IL,gas supply,121,0,310554,0,117,0,10,0,304250,0,6304,0,739,0,2002
IL,transit,16556,0,63477227,0,15262,0,1700,0,60052975,0,3424252,0,227522,0,2002
IL,education - elementary and secondary instructional,190527,0,698743593,0,179300,0,28522,0,671231609,0,27511984,0,1864432,0,2002
IL,education - elementary and secondary other,76535,0,179673326,0,63931,0,29356,0,157270012,0,22403314,0,2123899,0,2002
IL,education - higher education instructional,9062,0,40535567,0,4913,0,14072,0,27243014,0,13292553,0,717128,0,2002
IL,education - higher education other,14352,0,39109935,0,10212,0,10118,0,31146435,0,7963500,0,714049,0,2002
IL,libraries,9300,0,22489521,0,5950,0,7901,0,16711509,0,5778012,0,573065,0,2002
IL,other and unallocable,6624,0,22760077,0,5857,0,2989,0,21233830,0,1526247,0,140541,0,2002
IN,total,237499,0,680560801,0,208655,0,70570,0,620351912,0,60208889,0,4850516,0,2002
IN,financial administration,4421,0,10054380,0,3815,0,2273,0,8853980,0,1200400,0,115501,0,2002
IN,other government administration,5595,0,12481858,0,5013,0,5490,0,10801641,0,1680217,0,112866,0,2002
IN,judicial and legal,5045,0,12719076,0,4689,0,921,0,11898004,0,821072,0,63003,0,2002
IN,police protection - officers,10316,0,37202664,0,10149,0,628,0,36887875,0,314789,0,30053,0,2002
IN,police protection - other,3579,0,7949867,0,3161,0,1454,0,7130759,0,819108,0,72926,0,2002
IN,fire protection - firefighters,6966,0,24705326,0,6537,0,2717,0,24056866,0,648460,0,74935,0,2002
IN,fire protection - other,314,0,763390,0,269,0,111,0,700451,0,62939,0,7297,0,2002
IN,corrections,4738,0,10831269,0,4433,0,665,0,10346322,0,484947,0,50238,0,2002
IN,highways,6161,0,15984482,0,6012,0,364,0,15731898,0,252584,0,25832,0,2002
IN,air transportation,222,0,661297,0,199,0,61,0,625475,0,35822,0,3758,0,2002
IN,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
IN,public welfare,1282,0,2543294,0,1135,0,386,0,2266541,0,276753,0,25899,0,2002
IN,health,3168,0,8065613,0,2922,0,631,0,7610970,0,454643,0,41928,0,2002
IN,hospitals,23274,0,70665441,0,18029,0,8462,0,55623261,0,15042180,0,869415,0,2002
IN,solid waste management,1563,0,3679171,0,1420,0,285,0,3444127,0,235044,0,25277,0,2002
IN,sewerage,2790,0,8125973,0,2688,0,446,0,7912220,0,213753,0,19292,0,2002
IN,parks and recreation,3451,0,7910007,0,2554,0,2747,0,6263626,0,1646381,0,156515,0,2002
IN,housing and community development,1709,0,4406352,0,1604,0,237,0,4208552,0,197800,0,17597,0,2002
IN,natural resources,538,0,1120652,0,474,0,224,0,1008902,0,111750,0,11273,0,2002
IN,water transport and terminals,1987,0,5574033,0,1916,0,244,0,5434903,0,139130,0,13463,0,2002
IN,electric power,1049,0,3477598,0,1034,0,44,0,3450017,0,27581,0,2585,0,2002
IN,gas supply,1024,0,3332326,0,999,0,98,0,3197925,0,134401,0,4400,0,2002
IN,transit,1529,0,4569270,0,1463,0,119,0,4443043,0,126227,0,11509,0,2002
IN,education - elementary and secondary instructional,90517,0,310136239,0,84027,0,16698,0,296441848,0,13694391,0,1075586,0,2002
IN,education - elementary and secondary other,47949,0,95288100,0,37562,0,20858,0,76379989,0,18908111,0,1714720,0,2002
IN,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
IN,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
IN,libraries,4570,0,9607701,0,3140,0,3456,0,7503203,0,2104498,0,244668,0,2002
IN,other and unallocable,3742,0,8705422,0,3411,0,951,0,8129514,0,575908,0,59980,0,2002
IA,total,125123,0,341572051,0,106506,0,51468,0,305215483,0,36356568,0,3258579,0,2002
IA,financial administration,2665,0,7122984,0,2512,0,433,0,6823366,0,299618,0,28514,0,2002
IA,other government administration,2419,0,7177787,0,2057,0,4025,0,6167464,0,1010323,0,74695,0,2002
IA,judicial and legal,856,0,2900855,0,756,0,227,0,2610551,0,290304,0,17349,0,2002
IA,police protection - officers,4726,0,16361991,0,4641,0,392,0,16189015,0,172976,0,16519,0,2002
IA,police protection - other,1506,0,3773578,0,1353,0,498,0,3448937,0,324641,0,27458,0,2002
IA,fire protection - firefighters,1825,0,6702001,0,1704,0,1776,0,6486627,0,215374,0,23160,0,2002
IA,fire protection - other,68,0,206800,0,56,0,29,0,186447,0,20353,0,1941,0,2002
IA,corrections,1177,0,2993514,0,1058,0,282,0,2778967,0,214547,0,21467,0,2002
IA,highways,5810,0,16686234,0,5720,0,330,0,16503062,0,183172,0,16489,0,2002
IA,air transportation,194,0,675909,0,184,0,24,0,651473,0,24436,0,2149,0,2002
IA,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
IA,public welfare,1338,0,2920907,0,1027,0,753,0,2385550,0,535357,0,55262,0,2002
IA,health,2270,0,5550038,0,1773,0,1210,0,4592470,0,957568,0,87059,0,2002
IA,hospitals,9506,0,25162817,0,7733,0,3652,0,21087056,0,4075761,0,308245,0,2002
IA,solid waste management,906,0,2398553,0,805,0,298,0,2227784,0,170769,0,18544,0,2002
IA,sewerage,1186,0,3630239,0,1143,0,252,0,3519548,0,110691,0,10759,0,2002
IA,parks and recreation,2088,0,5347161,0,1542,0,2137,0,4542647,0,804514,0,95580,0,2002
IA,housing and community development,546,0,1800477,0,517,0,60,0,1746690,0,53787,0,4993,0,2002
IA,natural resources,240,0,565790,0,174,0,202,0,455842,0,109948,0,10435,0,2002
IA,water transport and terminals,1494,0,4562753,0,1419,0,371,0,4393476,0,169277,0,16098,0,2002
IA,electric power,945,0,3505823,0,931,0,55,0,3479508,0,26315,0,2441,0,2002
IA,gas supply,87,0,277463,0,83,0,5,0,270562,0,6901,0,691,0,2002
IA,transit,756,0,1910552,0,506,0,428,0,1432529,0,478023,0,43824,0,2002
IA,education - elementary and secondary instructional,52763,0,151934919,0,47326,0,12768,0,141021577,0,10913342,0,937913,0,2002
IA,education - elementary and secondary other,20848,0,41591905,0,14944,0,13251,0,31272558,0,10319347,0,1024157,0,2002
IA,education - higher education instructional,2338,0,9552719,0,1660,0,3156,0,7261197,0,2291522,0,119010,0,2002
IA,education - higher education other,3472,0,8652001,0,2709,0,2272,0,7547938,0,1104063,0,132343,0,2002
IA,libraries,1469,0,3236257,0,786,0,1835,0,2169343,0,1066914,0,119011,0,2002
IA,other and unallocable,1625,0,4370024,0,1387,0,747,0,3963299,0,406725,0,42473,0,2002
KS,total,133871,0,355844919,0,116898,0,52699,0,322067026,0,33777893,0,2974134,0,2002
KS,financial administration,2919,0,7767885,0,2776,0,1510,0,7429197,0,338688,0,32915,0,2002
KS,other government administration,2396,0,7224016,0,2161,0,4638,0,6451875,0,772141,0,58948,0,2002
KS,judicial and legal,1509,0,4760089,0,1381,0,609,0,4297806,0,462283,0,25974,0,2002
KS,police protection - officers,5547,0,19070917,0,5424,0,423,0,18862556,0,208361,0,23442,0,2002
KS,police protection - other,1914,0,4584414,0,1743,0,496,0,4281992,0,302422,0,31162,0,2002
KS,fire protection - firefighters,2789,0,10276942,0,2617,0,2507,0,10028933,0,248009,0,31973,0,2002
KS,fire protection - other,110,0,314340,0,100,0,56,0,299799,0,14541,0,1748,0,2002
KS,corrections,2412,0,6683928,0,2344,0,210,0,6541685,0,142243,0,12758,0,2002
KS,highways,5291,0,13178341,0,5090,0,759,0,12770488,0,407853,0,42717,0,2002
KS,air transportation,225,0,648827,0,214,0,24,0,630340,0,18487,0,1731,0,2002
KS,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
KS,public welfare,986,0,2221835,0,840,0,340,0,1925025,0,296810,0,25611,0,2002
KS,health,2911,0,7945586,0,2484,0,1441,0,7049379,0,896207,0,75376,0,2002
KS,hospitals,7116,0,19166116,0,5780,0,2397,0,16121664,0,3044452,0,234498,0,2002
KS,solid waste management,958,0,2175368,0,898,0,175,0,2079222,0,96146,0,11111,0,2002
KS,sewerage,1265,0,3748814,0,1242,0,131,0,3702543,0,46271,0,5159,0,2002
KS,parks and recreation,2302,0,5428751,0,1751,0,2142,0,4591030,0,837721,0,97537,0,2002
KS,housing and community development,772,0,1927810,0,670,0,333,0,1731513,0,196297,0,20027,0,2002
KS,natural resources,389,0,908500,0,335,0,206,0,793815,0,114685,0,10342,0,2002
KS,water transport and terminals,2266,0,6693289,0,2109,0,596,0,6336625,0,356664,0,31779,0,2002
KS,electric power,1283,0,4681651,0,1271,0,48,0,4656554,0,25097,0,2335,0,2002
KS,gas supply,60,0,166375,0,60,0,2,0,165802,0,573,0,84,0,2002
KS,transit,322,0,796234,0,303,0,44,0,767884,0,28350,0,3316,0,2002
KS,education - elementary and secondary instructional,53370,0,149703765,0,48284,0,13423,0,138763208,0,10940557,0,855338,0,2002
KS,education - elementary and secondary other,23489,0,44836773,0,18466,0,11215,0,36644528,0,8192245,0,859710,0,2002
KS,education - higher education instructional,3015,0,10779715,0,2058,0,3521,0,7690808,0,3088907,0,165690,0,2002
KS,education - higher education other,4651,0,11181846,0,3417,0,3637,0,9429579,0,1752267,0,214972,0,2002
KS,libraries,994,0,2305365,0,713,0,648,0,1766748,0,538617,0,50424,0,2002
KS,other and unallocable,2610,0,6667427,0,2367,0,1168,0,6256428,0,410999,0,47457,0,2002
KY,total,151946,0,365852641,0,141593,0,26746,0,348612384,0,17240257,0,1720717,0,2002
KY,financial administration,1656,0,4376888,0,1580,0,273,0,4205832,0,171056,0,14486,0,2002
KY,other government administration,2703,0,7082406,0,2491,0,1856,0,6441303,0,641103,0,40331,0,2002
KY,judicial and legal,1196,0,2928028,0,1060,0,344,0,2656435,0,271593,0,24429,0,2002
KY,police protection - officers,5885,0,18785794,0,5775,0,250,0,18607186,0,178608,0,18638,0,2002
KY,police protection - other,1469,0,3412243,0,1237,0,574,0,3070901,0,341342,0,40237,0,2002
KY,fire protection - firefighters,3378,0,10640962,0,3228,0,949,0,10400097,0,240865,0,27065,0,2002
KY,fire protection - other,297,0,692256,0,286,0,68,0,670637,0,21619,0,2498,0,2002
KY,corrections,3148,0,7113955,0,2973,0,364,0,6858161,0,255794,0,30895,0,2002
KY,highways,3242,0,7243815,0,3189,0,92,0,7162738,0,81077,0,9132,0,2002
KY,air transportation,652,0,2270035,0,611,0,72,0,2189327,0,80708,0,7406,0,2002
KY,water transport and terminals,51,0,144742,0,47,0,4,0,139250,0,5492,0,638,0,2002
KY,public welfare,535,0,1295587,0,488,0,153,0,1214203,0,81384,0,8162,0,2002
KY,health,5017,0,11914672,0,4580,0,901,0,11153841,0,760831,0,76683,0,2002
KY,hospitals,4078,0,10696203,0,3483,0,941,0,9286648,0,1409555,0,104837,0,2002
KY,solid waste management,1713,0,3358692,0,1625,0,161,0,3243915,0,114777,0,14895,0,2002
KY,sewerage,1626,0,5118669,0,1584,0,75,0,5046011,0,72658,0,7137,0,2002
KY,parks and recreation,1491,0,2889495,0,1183,0,795,0,2465987,0,423508,0,54215,0,2002
KY,housing and community development,993,0,2673605,0,949,0,88,0,2603290,0,70315,0,7553,0,2002
KY,natural resources,178,0,312956,0,127,0,370,0,224868,0,88088,0,9592,0,2002
KY,water transport and terminals,2925,0,8011641,0,2805,0,330,0,7761613,0,250028,0,20802,0,2002
KY,electric power,633,0,2383262,0,620,0,31,0,2353814,0,29448,0,2454,0,2002
KY,gas supply,177,0,401551,0,176,0,2,0,399898,0,1653,0,196,0,2002
KY,transit,990,0,2997060,0,919,0,134,0,2848107,0,148953,0,12715,0,2002
KY,education - elementary and secondary instructional,67736,0,181724253,0,65275,0,7653,0,176746271,0,4977982,0,394325,0,2002
KY,education - elementary and secondary other,36931,0,60051075,0,32629,0,8980,0,54351858,0,5699217,0,691219,0,2002
KY,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
KY,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
KY,libraries,1387,0,2775918,0,992,0,899,0,2221139,0,554779,0,68518,0,2002
KY,other and unallocable,1859,0,4556878,0,1681,0,387,0,4289054,0,267824,0,31659,0,2002
LA,total,187675,0,458666764,0,176694,0,29489,0,439296988,0,19369776,0,1890671,0,2002
LA,financial administration,3180,0,8261776,0,3066,0,256,0,8066684,0,195092,0,18813,0,2002
LA,other government administration,3172,0,7958769,0,2932,0,1427,0,7239656,0,719113,0,43727,0,2002
LA,judicial and legal,5964,0,13189491,0,5603,0,910,0,12571881,0,617610,0,63759,0,2002
LA,police protection - officers,11063,0,30323860,0,10828,0,626,0,30014726,0,309134,0,41167,0,2002
LA,police protection - other,3340,0,7138012,0,2919,0,1284,0,6570365,0,567647,0,72931,0,2002
LA,fire protection - firefighters,4472,0,13044324,0,4430,0,242,0,12978157,0,66167,0,7795,0,2002
LA,fire protection - other,165,0,406201,0,158,0,42,0,392327,0,13874,0,1525,0,2002
LA,corrections,5867,0,14636926,0,5676,0,367,0,14279152,0,357774,0,32159,0,2002
LA,highways,5206,0,10962351,0,5035,0,314,0,10705207,0,257144,0,30122,0,2002
LA,air transportation,408,0,1068122,0,400,0,22,0,1050668,0,17454,0,1434,0,2002
LA,water transport and terminals,336,0,966403,0,322,0,33,0,948703,0,17700,0,2454,0,2002
LA,public welfare,614,0,1110291,0,575,0,91,0,1035158,0,75133,0,6999,0,2002
LA,health,1596,0,3537848,0,1513,0,213,0,3352871,0,184977,0,13525,0,2002
LA,hospitals,16633,0,49079182,0,14508,0,4376,0,43389936,0,5689246,0,372360,0,2002
LA,solid waste management,1242,0,2256044,0,1159,0,158,0,2133982,0,122062,0,14918,0,2002
LA,sewerage,2266,0,5475528,0,2229,0,113,0,5412866,0,62662,0,6666,0,2002
LA,parks and recreation,3038,0,5427646,0,2118,0,2047,0,4166989,0,1260657,0,160554,0,2002
LA,housing and community development,1314,0,3078340,0,1298,0,46,0,3047619,0,30721,0,3040,0,2002
LA,natural resources,1075,0,2453728,0,1028,0,98,0,2397612,0,56116,0,8108,0,2002
LA,water transport and terminals,2829,0,6579702,0,2727,0,322,0,6397236,0,182466,0,18971,0,2002
LA,electric power,563,0,1604667,0,563,0,3,0,1602940,0,1727,0,166,0,2002
