state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
GA,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
GA,2016,education - higher education total,50233,258846480,46525,43357665,2347560,63496,96758,302204145
GA,2016,education - higher education instructional,15546,103925660,17855,26475402,1022416,21320,33401,130401062
GA,2016,education - higher education other,34687,154920820,28670,16882263,1325144,42176,63357,171803083
GA,2016,education - other,2462,11882217,134,285421,8803,2511,2596,12167638
GA,2016,libraries,0,0,0,0,0,0,0,0
GA,2016,liquor stores,0,0,0,0,0,0,0,0
GA,2016,other and unallocable,2052,8479051,181,220030,13799,2131,2233,8699081
HI,2016,total,52248,247472296,19613,21950600,1107239,58777,71861,269422896
HI,2016,financial administration,679,3048752,0,0,0,679,679,3048752
HI,2016,other government administration,727,3267139,139,375225,15808,817,866,3642364
HI,2016,judicial and legal,2639,12951326,62,161054,4280,2663,2701,13112380
HI,2016,police protection total,0,0,0,0,0,0,0,0
HI,2016,police protection - officers,0,0,0,0,0,0,0,0
HI,2016,police protection - other,0,0,0,0,0,0,0,0
HI,2016,fire protection total,0,0,0,0,0,0,0,0
HI,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
HI,2016,fire protection - other,0,0,0,0,0,0,0,0
HI,2016,corrections,2352,12063878,9,45718,660,2356,2361,12109596
HI,2016,highways,847,4275090,13,9266,1012,853,860,4284356
HI,2016,air transportation,1004,4606464,6,6066,456,1007,1010,4612530
HI,2016,water transport and terminals,222,996600,1,270,76,222,223,996870
HI,2016,public welfare,398,1764396,17,12078,1296,405,415,1776474
HI,2016,health,1906,9655544,37,110562,3340,1925,1943,9766106
HI,2016,hospitals,3903,22367069,775,2521877,71893,4308,4678,24888946
HI,2016,social insurance administration,201,918598,12,32560,960,206,213,951158
HI,2016,solid waste management,0,0,0,0,0,0,0,0
HI,2016,sewerage,0,0,0,0,0,0,0,0
HI,2016,parks and recreation,139,565960,408,127174,8727,188,547,693134
HI,2016,housing and community development,0,0,0,0,0,0,0,0
HI,2016,natural resources,790,3735364,24,78870,2812,805,814,3814234
HI,2016,water transport and terminals,0,0,0,0,0,0,0,0
HI,2016,electric power,0,0,0,0,0,0,0,0
HI,2016,gas supply,0,0,0,0,0,0,0,0
HI,2016,transit,0,0,0,0,0,0,0,0
HI,2016,education total,32398,149379304,17825,18223168,977166,38196,50223,167602472
HI,2016,education - elementary and secondary total,22296,98795086,12376,13595454,738884,26748,34672,112390540
HI,2016,education - elementary and secondary instructional,17094,80951262,10835,12380342,661102,21077,27929,93331604
HI,2016,education - elementary and secondary other,5202,17843824,1541,1215112,77782,5671,6743,19058936
HI,2016,education - higher education total,9970,50032262,5447,4623852,238122,11315,15417,54656114
HI,2016,education - higher education instructional,4089,27844488,747,1039884,34140,4282,4836,28884372
HI,2016,education - higher education other,5881,22187774,4700,3583968,203982,7033,10581,25771742
HI,2016,education - other,132,551956,2,3862,160,133,134,555818
HI,2016,libraries,487,1824254,241,183644,15130,572,728,2007898
HI,2016,liquor stores,0,0,0,0,0,0,0,0
HI,2016,other and unallocable,3556,16052558,44,63068,3623,3575,3600,16115626
ID,2016,total,20642,106667162,10563,11848381,599365,24025,31205,118515543
ID,2016,financial administration,1210,6740396,126,238247,15905,1300,1336,6978643
ID,2016,other government administration,228,1271423,89,225450,14875,311,317,1496873
ID,2016,judicial and legal,533,5053132,53,163186,3597,553,586,5216318
ID,2016,police protection total,482,2430973,18,25157,1424,490,500,2456130
ID,2016,police protection - officers,266,1569800,0,0,0,266,266,1569800
ID,2016,police protection - other,216,861173,18,25157,1424,224,234,886330
ID,2016,fire protection total,0,0,0,0,0,0,0,0
ID,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
ID,2016,fire protection - other,0,0,0,0,0,0,0,0
ID,2016,corrections,2396,12853094,20,34654,1809,2407,2416,12887748
ID,2016,highways,1304,5505228,18,36607,3277,1323,1322,5541835
ID,2016,air transportation,0,0,0,0,0,0,0,0
ID,2016,water transport and terminals,0,0,0,0,0,0,0,0
ID,2016,public welfare,1744,7049779,136,332617,14383,1825,1880,7382396
ID,2016,health,1643,8535540,279,808991,27012,1795,1922,9344531
ID,2016,hospitals,520,1929327,109,177836,12117,588,629,2107163
ID,2016,social insurance administration,503,3087399,70,266489,10144,560,573,3353888
ID,2016,solid waste management,0,0,0,0,0,0,0,0
ID,2016,sewerage,0,0,0,0,0,0,0,0
ID,2016,parks and recreation,149,798576,91,116319,7320,190,240,914895
ID,2016,housing and community development,0,0,0,0,0,0,0,0
ID,2016,natural resources,1553,8929905,711,1179356,61262,1900,2264,10109261
ID,2016,water transport and terminals,0,0,0,0,0,0,0,0
ID,2016,electric power,0,0,0,0,0,0,0,0
ID,2016,gas supply,0,0,0,0,0,0,0,0
ID,2016,transit,0,0,0,0,0,0,0,0
ID,2016,education total,7119,34806533,8564,7823383,402993,9394,15683,42629916
ID,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
ID,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
ID,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
ID,2016,education - higher education total,6749,32434028,8545,7757948,400808,9013,15294,40191976
ID,2016,education - higher education instructional,2466,14999928,3342,4315776,140203,3258,5808,19315704
ID,2016,education - higher education other,4283,17434100,5203,3442172,260605,5755,9486,20876272
ID,2016,education - other,370,2372505,19,65435,2185,381,389,2437940
ID,2016,libraries,0,0,0,0,0,0,0,0
ID,2016,liquor stores,156,741524,183,247114,16136,247,339,988638
ID,2016,other and unallocable,1102,6934333,96,172975,7111,1142,1198,7107308
IL,2016,total,102044,594783262,50836,88575935,3742081,123611,152880,683359197
IL,2016,financial administration,4506,23286771,314,695890,33157,4706,4820,23982661
IL,2016,other government administration,1967,12780241,35,63601,2367,1982,2002,12843842
IL,2016,judicial and legal,2505,22908215,29,121974,2682,2521,2534,23030189
IL,2016,police protection total,3050,22529930,21,63210,1364,3059,3071,22593140
IL,2016,police protection - officers,1860,14726320,0,0,0,1860,1860,14726320
IL,2016,police protection - other,1190,7803610,21,63210,1364,1199,1211,7866820
IL,2016,fire protection total,0,0,0,0,0,0,0,0
IL,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
IL,2016,fire protection - other,0,0,0,0,0,0,0,0
IL,2016,corrections,12324,74440024,0,0,0,12324,12324,74440024
IL,2016,highways,5688,38094825,1303,5784332,161563,6661,6991,43879157
IL,2016,air transportation,0,0,0,0,0,0,0,0
IL,2016,water transport and terminals,49,382265,0,0,0,49,49,382265
IL,2016,public welfare,8888,51099793,29,118234,2816,8905,8917,51218027
IL,2016,health,2183,14918011,15,61580,1338,2191,2198,14979591
IL,2016,hospitals,10610,51465097,615,1657219,41976,10847,11225,53122316
IL,2016,social insurance administration,1490,8812498,0,0,0,1490,1490,8812498
IL,2016,solid waste management,0,0,0,0,0,0,0,0
IL,2016,sewerage,0,0,0,0,0,0,0,0
IL,2016,parks and recreation,386,2147820,10,26817,1210,393,396,2174637
IL,2016,housing and community development,0,0,0,0,0,0,0,0
IL,2016,natural resources,2261,11988424,1329,3461518,144276,3076,3590,15449942
IL,2016,water transport and terminals,0,0,0,0,0,0,0,0
IL,2016,electric power,0,0,0,0,0,0,0,0
IL,2016,gas supply,0,0,0,0,0,0,0,0
IL,2016,transit,0,0,0,0,0,0,0,0
IL,2016,education total,40004,225790688,46996,76176155,3337749,59205,87000,301966843
IL,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
IL,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
IL,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
IL,2016,education - higher education total,38103,215983380,46980,76106467,3335869,57293,85083,292089847
IL,2016,education - higher education instructional,12803,87496469,16971,35785545,997760,18590,29774,123282014
IL,2016,education - higher education other,25300,128486911,30009,40320922,2338109,38703,55309,168807833
IL,2016,education - other,1901,9807308,16,69688,1880,1912,1917,9876996
IL,2016,libraries,0,0,0,0,0,0,0,0
IL,2016,liquor stores,0,0,0,0,0,0,0,0
IL,2016,other and unallocable,6133,34138660,140,345405,11583,6202,6273,34484065
IN,2016,total,75588,333167872,43179,35660280,2405400,89278,118767,368828152
IN,2016,financial administration,1881,8211636,20,37281,1581,1889,1901,8248917
IN,2016,other government administration,581,2796483,287,452529,33745,783,868,3249012
IN,2016,judicial and legal,1458,9583738,70,90732,4475,1484,1528,9674470
IN,2016,police protection total,1844,8053242,0,0,0,1844,1844,8053242
IN,2016,police protection - officers,1307,6139118,0,0,0,1307,1307,6139118
IN,2016,police protection - other,537,1914124,0,0,0,537,537,1914124
IN,2016,fire protection total,0,0,0,0,0,0,0,0
IN,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
IN,2016,fire protection - other,0,0,0,0,0,0,0,0
IN,2016,corrections,5934,17512783,11,13303,1167,5942,5945,17526086
IN,2016,highways,3408,11824367,95,120760,7434,3453,3503,11945127
IN,2016,air transportation,0,0,0,0,0,0,0,0
IN,2016,water transport and terminals,27,169643,0,0,0,27,27,169643
IN,2016,public welfare,5763,16794891,33,20461,1535,5773,5796,16815352
IN,2016,health,1656,6404011,30,20750,745,1660,1686,6424761
IN,2016,hospitals,1709,5806384,9,10932,631,1713,1718,5817316
IN,2016,social insurance administration,1143,3423892,69,64891,5304,1175,1212,3488783
IN,2016,solid waste management,0,0,0,0,0,0,0,0
IN,2016,sewerage,0,0,0,0,0,0,0,0
IN,2016,parks and recreation,137,490956,49,45936,3979,161,186,536892
IN,2016,housing and community development,0,0,0,0,0,0,0,0
IN,2016,natural resources,2097,7749595,279,293480,21487,2221,2376,8043075
IN,2016,water transport and terminals,0,0,0,0,0,0,0,0
IN,2016,electric power,0,0,0,0,0,0,0,0
IN,2016,gas supply,0,0,0,0,0,0,0,0
IN,2016,transit,0,0,0,0,0,0,0,0
IN,2016,education total,45761,225997338,41908,34343734,2314373,58912,87669,260341072
IN,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
IN,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
IN,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
IN,2016,education - higher education total,44806,222513016,41700,34213004,2305149,57901,86506,256726020
IN,2016,education - higher education instructional,19761,121199351,11394,18773448,889970,24808,31155,139972799
IN,2016,education - higher education other,25045,101313665,30306,15439556,1415179,33093,55351,116753221
IN,2016,education - other,955,3484322,208,130730,9224,1011,1163,3615052
IN,2016,libraries,0,0,0,0,0,0,0,0
IN,2016,liquor stores,0,0,0,0,0,0,0,0
IN,2016,other and unallocable,2189,8348913,319,145491,8944,2241,2508,8494404
IA,2016,total,41359,261558776,28324,23912968,1706893,51005,69683,285471744
IA,2016,financial administration,1279,7182374,48,118653,5159,1308,1327,7301027
IA,2016,other government administration,355,1880304,252,508507,33737,546,607,2388811
IA,2016,judicial and legal,2209,12633328,78,236200,9497,2263,2287,12869528
IA,2016,police protection total,878,5801187,6,12470,544,881,884,5813657
IA,2016,police protection - officers,588,4185115,4,4873,190,589,592,4189988
IA,2016,police protection - other,290,1616072,2,7597,354,292,292,1623669
IA,2016,fire protection total,0,0,0,0,0,0,0,0
IA,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
IA,2016,fire protection - other,0,0,0,0,0,0,0,0
IA,2016,corrections,2702,13994493,124,435415,14447,2785,2826,14429908
IA,2016,highways,2144,11478578,122,122357,7783,2188,2266,11600935
IA,2016,air transportation,0,0,0,0,0,0,0,0
IA,2016,water transport and terminals,0,0,0,0,0,0,0,0
IA,2016,public welfare,2550,13178928,69,224320,8191,2596,2619,13403248
IA,2016,health,412,2496870,65,115227,4690,438,477,2612097
IA,2016,hospitals,7595,44529005,4523,2987845,185168,8641,12118,47516850
IA,2016,social insurance administration,597,2396300,2,4680,128,598,599,2400980
IA,2016,solid waste management,0,0,0,0,0,0,0,0
IA,2016,sewerage,0,0,0,0,0,0,0,0
IA,2016,parks and recreation,96,523486,14,14725,1988,107,110,538211
IA,2016,housing and community development,86,585315,4,12106,450,89,90,597421
IA,2016,natural resources,1474,8133285,198,185502,15686,1562,1672,8318787
IA,2016,water transport and terminals,0,0,0,0,0,0,0,0
IA,2016,electric power,0,0,0,0,0,0,0,0
IA,2016,gas supply,0,0,0,0,0,0,0,0
IA,2016,transit,0,0,0,0,0,0,0,0
IA,2016,education total,16716,123952714,22508,18216240,1385851,24546,39224,142168954
IA,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
IA,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
IA,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
IA,2016,education - higher education total,15712,118182374,22390,17858e3,1375614,23483,38102,136040374
IA,2016,education - higher education instructional,3681,38373131,6581,11736623,429873,6109,10262,50109754
IA,2016,education - higher education other,12031,79809243,15809,6121377,945741,17374,27840,85930620
IA,2016,education - other,1004,5770340,118,358240,10237,1063,1122,6128580
IA,2016,libraries,0,0,0,0,0,0,0,0
IA,2016,liquor stores,0,0,0,0,0,0,0,0
IA,2016,other and unallocable,2266,12792609,311,718721,33574,2457,2577,13511330
KS,2016,total,46519,217345888,18059,20124936,991753,52118,64578,237470824
KS,2016,financial administration,1698,6795126,44,69421,3519,1718,1742,6864547
KS,2016,other government administration,453,1514056,180,449752,19320,562,633,1963808
KS,2016,judicial and legal,2073,9001737,94,125993,6932,2112,2167,9127730
KS,2016,police protection total,1015,4725441,69,103887,5740,1047,1084,4829328
KS,2016,police protection - officers,277,1524235,22,43349,2086,289,299,1567584
KS,2016,police protection - other,738,3201206,47,60538,3654,758,785,3261744
KS,2016,fire protection total,0,0,0,0,0,0,0,0
KS,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
KS,2016,fire protection - other,0,0,0,0,0,0,0,0
KS,2016,corrections,3420,10746032,17,24377,1577,3429,3437,10770409
KS,2016,highways,2587,9552411,176,169778,11249,2651,2763,9722189
KS,2016,air transportation,0,0,0,0,0,0,0,0
KS,2016,water transport and terminals,0,0,0,0,0,0,0,0
KS,2016,public welfare,2922,10211168,56,44146,4301,2947,2978,10255314
KS,2016,health,1004,4056101,40,82017,3613,1024,1044,4138118
KS,2016,hospitals,8975,45718830,2001,5474352,150345,9824,10976,51193182
KS,2016,social insurance administration,96,351498,1,210,33,96,97,351708
KS,2016,solid waste management,0,0,0,0,0,0,0,0
KS,2016,sewerage,0,0,0,0,0,0,0,0
KS,2016,parks and recreation,544,1648463,2,846,66,544,546,1649309
KS,2016,housing and community development,0,0,0,0,0,0,0,0
KS,2016,natural resources,746,3242897,90,76861,6161,781,836,3319758
KS,2016,water transport and terminals,0,0,0,0,0,0,0,0
KS,2016,electric power,0,0,0,0,0,0,0,0
KS,2016,gas supply,0,0,0,0,0,0,0,0
KS,2016,transit,0,0,0,0,0,0,0,0
KS,2016,education total,18957,101170986,15114,13258468,766179,23283,34071,114429454
KS,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
KS,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
KS,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
KS,2016,education - higher education total,18363,98577151,15042,13160235,761723,22665,33405,111737386
KS,2016,education - higher education instructional,6775,49206317,4098,6656048,255486,8218,10873,55862365
KS,2016,education - higher education other,11588,49370834,10944,6504187,506237,14447,22532,55875021
KS,2016,education - other,594,2593835,72,98233,4456,618,666,2692068
KS,2016,libraries,0,0,0,0,0,0,0,0
KS,2016,liquor stores,0,0,0,0,0,0,0,0
KS,2016,other and unallocable,2029,8611142,175,244828,12718,2100,2204,8855970
KY,2016,total,74313,332405399,25571,27918843,1926149,85606,99884,360324242
KY,2016,financial administration,2453,9780107,31,33838,1170,2460,2484,9813945
KY,2016,other government administration,777,3920027,397,887239,36213,994,1174,4807266
KY,2016,judicial and legal,5637,19685226,224,330604,20425,5758,5861,20015830
KY,2016,police protection total,2061,7907249,8,8028,446,2064,2069,7915277
KY,2016,police protection - officers,1047,3975436,5,1983,111,1048,1052,3977419
KY,2016,police protection - other,1014,3931813,3,6045,335,1016,1017,3937858
KY,2016,fire protection total,0,0,0,0,0,0,0,0
KY,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
KY,2016,fire protection - other,0,0,0,0,0,0,0,0
KY,2016,corrections,4071,12873522,7,7699,459,4074,4078,12881221
KY,2016,highways,4521,16114344,16,31993,1231,4528,4537,16146337
KY,2016,air transportation,30,118207,0,0,0,30,30,118207
KY,2016,water transport and terminals,0,0,0,0,0,0,0,0
KY,2016,public welfare,7027,22189219,26,43235,1912,7039,7053,22232454
KY,2016,health,3362,14895148,91,103741,4421,3387,3453,14998889
KY,2016,hospitals,6457,30836705,883,1893471,63128,6813,7340,32730176
KY,2016,social insurance administration,1199,3764042,24,37516,1607,1208,1223,3801558
KY,2016,solid waste management,0,0,0,0,0,0,0,0
KY,2016,sewerage,0,0,0,0,0,0,0,0
KY,2016,parks and recreation,1010,2670084,11,8471,881,1015,1021,2678555
KY,2016,housing and community development,0,0,0,0,0,0,0,0
KY,2016,natural resources,2576,9782050,176,175383,9278,2629,2752,9957433
KY,2016,water transport and terminals,0,0,0,0,0,0,0,0
KY,2016,electric power,0,0,0,0,0,0,0,0
KY,2016,gas supply,0,0,0,0,0,0,0,0
KY,2016,transit,0,0,0,0,0,0,0,0
KY,2016,education total,30622,168393935,23417,24244070,1780599,41071,54039,192638005
KY,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
KY,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
KY,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
KY,2016,education - higher education total,28609,159717872,22850,23913780,1762910,38955,51459,183631652
KY,2016,education - higher education instructional,9505,79549617,7194,11205071,516349,12539,16699,90754688
KY,2016,education - higher education other,19104,80168255,15656,12708709,1246561,26416,34760,92876964
KY,2016,education - other,2013,8676063,567,330290,17689,2116,2580,9006353
KY,2016,libraries,0,0,0,0,0,0,0,0
KY,2016,liquor stores,0,0,0,0,0,0,0,0
KY,2016,other and unallocable,2510,9475534,260,113555,4379,2536,2770,9589089
LA,2016,total,66308,314490395,20529,20648600,1300419,73796,86837,335138995
LA,2016,financial administration,2600,12996464,199,295751,15746,2689,2799,13292215
LA,2016,other government administration,1727,7827051,518,722981,45242,1984,2245,8550032
LA,2016,judicial and legal,1636,7566990,40,55156,2100,1647,1676,7622146
LA,2016,police protection total,1748,12677227,57,197631,7648,1791,1805,12874858
LA,2016,police protection - officers,1183,9672328,31,112069,3729,1204,1214,9784397
LA,2016,police protection - other,565,3004899,26,85562,3919,587,591,3090461
LA,2016,fire protection total,0,0,0,0,0,0,0,0
LA,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
LA,2016,fire protection - other,0,0,0,0,0,0,0,0
LA,2016,corrections,5645,22453039,114,154725,10031,5702,5759,22607764
LA,2016,highways,4287,20612053,46,99654,3373,4306,4333,20711707
LA,2016,air transportation,0,0,0,0,0,0,0,0
LA,2016,water transport and terminals,283,1593210,4,12489,173,284,287,1605699
LA,2016,public welfare,5192,19368884,155,201428,10737,5253,5347,19570312
LA,2016,health,3539,17510048,136,298525,9017,3589,3675,17808573
LA,2016,hospitals,9173,37662999,1029,1588381,112398,9808,10202,39251380
LA,2016,social insurance administration,982,3759988,39,49483,3049,999,1021,3809471
LA,2016,solid waste management,0,0,0,0,0,0,0,0
LA,2016,sewerage,0,0,0,0,0,0,0,0
LA,2016,parks and recreation,803,3020782,213,276573,20414,919,1016,3297355
LA,2016,housing and community development,0,0,0,0,0,0,0,0
LA,2016,natural resources,3565,16640626,752,814744,53170,3879,4317,17455370
LA,2016,water transport and terminals,0,0,0,0,0,0,0,0
LA,2016,electric power,0,0,0,0,0,0,0,0
LA,2016,gas supply,0,0,0,0,0,0,0,0
LA,2016,transit,0,0,0,0,0,0,0,0
LA,2016,education total,22494,118900141,17089,15739828,999361,28270,39583,134639969
LA,2016,education - elementary and secondary total,84,466315,2,2066,104,85,86,468381
LA,2016,education - elementary and secondary instructional,84,466315,2,2066,104,85,86,468381
LA,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
LA,2016,education - higher education total,20188,108054109,16426,14951399,963288,25761,36614,123005508
LA,2016,education - higher education instructional,7415,53872224,5458,7854548,384449,9635,12873,61726772
LA,2016,education - higher education other,12773,54181885,10968,7096851,578839,16126,23741,61278736
LA,2016,education - other,2222,10379717,661,786363,35969,2424,2883,11166080
LA,2016,libraries,0,0,0,0,0,0,0,0
LA,2016,liquor stores,0,0,0,0,0,0,0,0
LA,2016,other and unallocable,2634,11900893,138,141251,7960,2676,2772,12042144
ME,2016,total,18201,79468899,7952,8493811,431363,20647,26153,87962710
ME,2016,financial administration,1233,5063645,46,170931,5930,1268,1279,5234576
ME,2016,other government administration,252,1303136,226,683254,27393,408,478,1986390
ME,2016,judicial and legal,672,3436002,123,329295,13232,747,795,3765297
ME,2016,police protection total,428,2521108,2,2130,177,429,430,2523238
ME,2016,police protection - officers,328,2063358,0,0,0,328,328,2063358
ME,2016,police protection - other,100,457750,2,2130,177,101,102,459880
ME,2016,fire protection total,0,0,0,0,0,0,0,0
ME,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
ME,2016,fire protection - other,0,0,0,0,0,0,0,0
ME,2016,corrections,1105,4422525,95,330139,12258,1175,1200,4752664
ME,2016,highways,1976,7975313,96,191987,9568,2030,2072,8167300
ME,2016,air transportation,0,0,0,0,0,0,0,0
ME,2016,water transport and terminals,64,244010,22,48637,2923,81,86,292647
ME,2016,public welfare,2756,10501564,38,104771,3871,2778,2794,10606335
ME,2016,health,938,4148746,13,58666,1391,946,951,4207412
ME,2016,hospitals,447,2046251,51,120168,5148,476,498,2166419
ME,2016,social insurance administration,359,1326015,1,4096,159,360,360,1330111
ME,2016,solid waste management,0,0,0,0,0,0,0,0
ME,2016,sewerage,0,0,0,0,0,0,0,0
ME,2016,parks and recreation,167,625010,1,2657,97,168,168,627667
ME,2016,housing and community development,0,0,0,0,0,0,0,0
ME,2016,natural resources,1064,4816475,163,292193,13903,1143,1227,5108668
ME,2016,water transport and terminals,0,0,0,0,0,0,0,0
ME,2016,electric power,0,0,0,0,0,0,0,0
ME,2016,gas supply,0,0,0,0,0,0,0,0
ME,2016,transit,0,0,0,0,0,0,0,0
ME,2016,education total,5485,24923548,6966,5784255,322272,7307,12451,30707803
ME,2016,education - elementary and secondary total,32,146671,7,10520,449,34,39,157191
ME,2016,education - elementary and secondary instructional,21,111944,4,6380,225,22,25,118324
ME,2016,education - elementary and secondary other,11,34727,3,4140,224,12,14,38867
ME,2016,education - higher education total,5221,23791496,6959,5773735,321823,7041,12180,29565231
ME,2016,education - higher education instructional,1623,10020421,2479,3462802,133986,2381,4102,13483223
ME,2016,education - higher education other,3598,13771075,4480,2310933,187837,4660,8078,16082008
ME,2016,education - other,232,985381,0,0,0,232,232,985381
ME,2016,libraries,0,0,0,0,0,0,0,0
ME,2016,liquor stores,0,0,12,47880,1692,10,12,47880
ME,2016,other and unallocable,1255,6115551,97,322752,11349,1321,1352,6438303
MD,2016,total,77139,405368148,13230,40211293,1556231,85928,90369,445579441
MD,2016,financial administration,2922,13994974,95,289643,11592,2988,3017,14284617
MD,2016,other government administration,1441,8476877,289,597562,19163,1549,1730,9074439
MD,2016,judicial and legal,4891,29543508,429,1127991,60585,5233,5320,30671499
MD,2016,police protection total,2229,14029537,0,0,0,2229,2229,14029537
MD,2016,police protection - officers,1464,10177993,0,0,0,1464,1464,10177993
MD,2016,police protection - other,765,3851544,0,0,0,765,765,3851544
MD,2016,fire protection total,0,0,0,0,0,0,0,0
MD,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
MD,2016,fire protection - other,0,0,0,0,0,0,0,0
MD,2016,corrections,11450,56140059,506,1377651,76468,11882,11956,57517710
MD,2016,highways,4456,23055342,0,0,0,4456,4456,23055342
MD,2016,air transportation,461,2615353,0,0,0,461,461,2615353
MD,2016,water transport and terminals,266,1689921,0,0,0,266,266,1689921
MD,2016,public welfare,6288,27388547,226,627558,34231,6482,6514,28016105
MD,2016,health,5531,27242373,812,1912709,105232,6125,6343,29155082
MD,2016,hospitals,3252,15996326,416,815521,33982,3443,3668,16811847
MD,2016,social insurance administration,819,3900471,44,123546,6776,857,863,4024017
MD,2016,solid waste management,0,0,0,0,0,0,0,0
MD,2016,sewerage,0,0,0,0,0,0,0,0
MD,2016,parks and recreation,368,1750920,125,211374,13494,444,493,1962294
MD,2016,housing and community development,0,0,0,0,0,0,0,0
MD,2016,natural resources,1812,9827785,334,830552,42882,2054,2146,10658337
MD,2016,water transport and terminals,0,0,0,0,0,0,0,0
MD,2016,electric power,0,0,0,0,0,0,0,0
MD,2016,gas supply,0,0,0,0,0,0,0,0
MD,2016,transit,704,4224802,0,0,0,704,704,4224802
MD,2016,education total,24355,135365918,9427,30851555,1089184,30509,33782,166217473
MD,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
MD,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
MD,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
MD,2016,education - higher education total,22577,126003896,9133,29877515,1049072,28504,31710,155881411
MD,2016,education - higher education instructional,7151,56394348,4276,23243763,636465,10747,11427,79638111
MD,2016,education - higher education other,15426,69609548,4857,6633752,412607,17757,20283,76243300
MD,2016,education - other,1778,9362022,294,974040,40112,2005,2072,10336062
MD,2016,libraries,0,0,0,0,0,0,0,0
MD,2016,liquor stores,0,0,0,0,0,0,0,0
MD,2016,other and unallocable,5894,30125435,527,1445631,62642,6246,6421,31571066
MA,2016,total,88728,524724498,34785,49506163,1764783,99315,123513,574230661
MA,2016,financial administration,3578,21149237,198,678436,9574,3636,3776,21827673
MA,2016,other government administration,1950,9996630,76,188215,4047,1975,2026,10184845
MA,2016,judicial and legal,9180,56581362,263,965251,15759,9275,9443,57546613
MA,2016,police protection total,2911,26368900,30,115755,2528,2926,2941,26484655
MA,2016,police protection - officers,2100,21477790,0,0,0,2100,2100,21477790
MA,2016,police protection - other,811,4891110,30,115755,2528,826,841,5006865
MA,2016,fire protection total,0,0,0,0,0,0,0,0
MA,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
MA,2016,fire protection - other,0,0,0,0,0,0,0,0
MA,2016,corrections,12051,68045866,160,496430,8186,12099,12211,68542296
MA,2016,highways,3012,18393345,57,221004,6364,3050,3069,18614349
MA,2016,air transportation,1010,7280868,0,0,0,1010,1010,7280868
MA,2016,water transport and terminals,160,1145268,0,0,0,160,160,1145268
MA,2016,public welfare,7096,39667931,393,1390596,21547,7226,7489,41058527
MA,2016,health,6632,35905218,825,2540913,53202,6953,7457,38446131
MA,2016,hospitals,5436,25027102,727,2085552,44162,5692,6163,27112654
MA,2016,social insurance administration,1378,7121897,27,93274,2550,1393,1405,7215171
MA,2016,solid waste management,0,0,0,0,0,0,0,0
MA,2016,sewerage,792,5762386,34,210938,2919,810,826,5973324
MA,2016,parks and recreation,895,4587480,146,168959,10261,954,1041,4756439
MA,2016,housing and community development,0,0,0,0,0,0,0,0
MA,2016,natural resources,1210,7916832,134,447009,8287,1259,1344,8363841
MA,2016,water transport and terminals,479,3102137,18,40991,624,483,497,3143128
MA,2016,electric power,0,0,0,0,0,0,0,0
MA,2016,gas supply,0,0,0,0,0,0,0,0
MA,2016,transit,0,0,0,0,0,0,0,0
MA,2016,education total,26733,158795692,31490,39012839,1560857,36104,58223,197808531
MA,2016,education - elementary and secondary total,2573,12673956,129,147899,6378,2610,2702,12821855
MA,2016,education - elementary and secondary instructional,2019,10325868,15,17046,264,2021,2034,10342914
MA,2016,education - elementary and secondary other,554,2348088,114,130853,6114,589,668,2478941
MA,2016,education - higher education total,23065,139462896,31289,38658183,1549634,32370,54354,178121079
